,Sample_name,Prop.C,Prop.D
1,T16,0,1
2,C9,0,1
3,O2,0,1
4,T2,0,1
5,C10,0,1
6,O10,0,1
7,F12,0,1
8,D3,0,1
9,O5,0,1
10,O11,0,1
11,O1,0,1
12,O14,0,1
13,O7,0,1
14,T8,0,1
15,D13,0,1
16,O12,0,1
17,F14,0,1
18,I12,0,1
19,T12,0,1
20,T5,0,1
21,F15,0,1
22,I9,0,1
23,T10,0,1
24,D11,0,1
25,I10,0,1
26,F1,0,1
27,T1,0,1
28,C12,0,1
29,T11,0,1
30,T4,0,1
31,F2,0,1
32,I4,0,1
33,F6,0,1
34,F5,0,1
35,C3,0,1
36,F10,0,1
37,D14,0,1
38,T6,0,1
39,F13,0,1
40,O4,0,1
41,D16,0,1
42,D9,0,1
43,T7,0,1
44,T9,0,1
45,D4,0,1
46,F3,0,1
47,F9,0,1
48,O9,0,1
49,I13,0,1
50,C4,0,1
51,C13,0,1
52,C15,0,1
53,D7,0,1
54,O16,0,1
55,F8,0,1
56,I3,0,1
57,F4,0,1
58,D10,0,1
59,D6,0,1
60,T13,0,1
61,O6,0,1
62,D15,0,1
63,D2,0,1
64,D5,0,1
65,O15,0,1
66,C2,0,1
67,D1,0,1
68,I6,0,1
69,C7,0,1
70,D12,0,1
71,O3,0,1
72,I15,0,1
73,C1,0,1
74,F11,0,1
75,I8,0,1
76,C16,0,1
77,D8,0.00375,0.99625
78,I14,0,1
79,O8,0,1
80,C8,0,1
81,O13,0,1
82,I11,0,1
83,N16,0.008125,0.991875
84,F16,0,1
85,I5,0.015,0.985
86,C11,0,1
87,T3,0,1
88,F7,0,1
89,I1,0.028125,0.971875
90,C5,0,1
91,C6,0.025625,0.974375
92,I7,0,1
93,I2,0.05,0.95
94,I16,0.04375,0.95625
95,X3,0.059375,0.940625
96,W10,0.10875,0.89125
97,G4,0.133125,0.866875
98,W9,0.15125,0.84875
99,X8,0.159375,0.840625
100,X13,0.175,0.825
101,X12,0.18125,0.81875
102,X7,0.165625,0.834375
103,W12,0.180625,0.819375
104,X4,0.203125,0.796875
105,X9,0.22,0.78
106,G9,0.18625,0.81375
107,X11,0.209375,0.790625
108,G13,0.223125,0.776875
109,G14,0.195,0.805
110,G6,0.2325,0.7675
111,W13,0.2275,0.7725
112,X6,0.244375,0.755625
113,W1,0.223125,0.776875
114,G12,0.236875,0.763125
115,X2,0.2475,0.7525
116,X14,0.2675,0.7325
117,X10,0.255,0.745
118,X16,0.26,0.74
119,X1,0.29375,0.70625
120,X5,0.29375,0.70625
121,A9,0.29,0.71
122,A1,0.32625,0.67375
123,X15,0.295,0.705
124,W2,0.358125,0.641875
125,G2,0.355625,0.644375
126,A4,0.42875,0.57125
127,V1,0.41625,0.58375
128,V2,0.38625,0.61375
129,A12,0.44625,0.55375
130,G16,0.4425,0.5575
131,E8,1,0
132,S8,1,0
133,E14,1,0
134,K8,1,0
135,Q16,1,0
136,S11,1,0
137,S7,1,0
138,E9,1,0
139,E1,1,0
140,E4,1,0
141,E10,1,0
142,S9,1,0
143,S1,1,0
144,E3,1,0
145,Q4,1,0
146,S14,1,0
147,J8,1,0
148,E5,1,0
149,E15,1,0
150,E7,1,0
151,Q15,1,0
152,E6,1,0
153,E12,1,0
154,S10,1,0
155,E13,1,0
156,Q10,1,0
157,S3,1,0
158,S5,1,0
159,J4,1,0
160,E2,1,0
161,Q9,1,0
162,S4,1,0
163,S13,1,0
164,E11,1,0
165,S16,1,0
166,Q12,1,0
167,J3,1,0
168,S15,1,0
169,Q5,1,0
170,H11,1,0
171,Q3,1,0
172,S2,1,0
173,Q7,0.990625,0.009375
174,K13,1,0
175,J2,1,0
176,J15,1,0
177,J16,1,0
178,E16,1,0
179,J7,1,0
180,H15,1,0
181,K14,1,0
182,H1,1,0
183,J1,1,0
184,K15,0.975,0.025
185,Q14,1,0
186,K16,0.96625,0.03375
187,M14,1,0
188,H2,1,0
189,H9,1,0
190,H16,1,0
191,H14,1,0
192,J11,1,0
193,M15,1,0
194,M8,1,0
195,J13,1,0
196,M11,1,0
197,M16,1,0
198,H13,1,0
199,J10,1,0
200,M2,1,0
201,M5,1,0
202,Q8,1,0
203,M4,1,0
204,M7,1,0
205,M13,1,0
206,H8,0.9775,0.0225
207,J5,1,0
208,J12,1,0
209,H5,1,0
210,Q13,1,0
211,M10,1,0
212,K11,0.948125,0.051875
213,K10,0.938125,0.061875
214,B10,1,0
215,K3,0.913125,0.086875
216,B9,1,0
217,B7,1,0
218,K7,0.925,0.075
219,Q2,0.898125,0.101875
220,R2,1,0
221,R4,1,0
222,K12,0.8925,0.1075
223,R9,1,0
224,R1,1,0
225,R11,1,0
226,R10,1,0
227,R14,1,0
228,L16,1,0
229,R12,1,0
230,R13,1,0
231,R3,1,0
232,K5,0.88,0.12
233,W8,0.934375,0.065625
234,L8,1,0
235,A13,0.81,0.19
236,A7,0.769375,0.230625
237,K6,0.775,0.225
238,A5,0.738125,0.261875
239,W7,0.816875,0.183125
240,K2,0.71875,0.28125
241,W15,0.764375,0.235625
242,W5,0.7475,0.2525
243,W6,0.69,0.31
244,K4,0.645,0.355
245,A8,0.658125,0.341875
246,K1,0.633125,0.366875
247,A16,0.603125,0.396875
248,W16,0.639375,0.360625
249,Q1,0.62,0.38
250,A10,0.60125,0.39875
251,A3,0.56625,0.43375
252,A15,0.569375,0.430625
253,K9,0.56125,0.43875
254,G3,0.578125,0.421875
255,G11,0.529375,0.470625
256,W4,0.57,0.43
257,A11,0.506875,0.493125
258,A14,0.519375,0.480625
259,W3,0.493125,0.506875
260,W11,0.525,0.475
261,W14,0.51625,0.48375
262,A6,0.49375,0.50625
263,P10,1,0
264,P15,1,0
265,P2,1,0
266,P11,1,0
267,V9,1,0
268,P5,1,0
269,P16,1,0
270,P3,1,0
271,P13,1,0
272,P4,1,0
273,P9,1,0
274,U15,0.95375,0.04625
275,P7,1,0
276,V14,1,0
277,P14,1,0
278,P1,1,0
279,V15,1,0
280,P12,1,0
281,V13,0.9925,0.0075
282,V11,1,0
283,U14,0.949375,0.050625
284,V16,1,0
285,U7,0.970625,0.029375
286,P8,1,0
287,V10,0.974375,0.025625
288,P6,1,0
289,U8,0.93625,0.06375
290,V12,0.9675,0.0325
291,V7,0.983125,0.016875
292,V6,0.921875,0.078125
293,V8,0.9275,0.0725
294,U3,0.845625,0.154375
295,V3,0.875625,0.124375
296,U6,0.846875,0.153125
297,U16,0.85375,0.14625
298,U10,0.820625,0.179375
299,U11,0.82875,0.17125
300,V4,0.791875,0.208125
301,U13,0.735625,0.264375
302,V5,0.75875,0.24125
303,U2,0.733125,0.266875
304,U5,0.679375,0.320625
305,U12,0.666875,0.333125
306,U4,0.608125,0.391875
307,U1,0.5975,0.4025
308,U9,0.579375,0.420625
309,L3,1,0
310,L15,1,0
311,L6,1,0
312,L7,1,0
313,L2,1,0
314,B8,1,0
315,L14,1,0
316,L13,1,0
317,L9,1,0
318,L10,1,0
319,B2,1,0
320,B15,1,0
321,L5,1,0
322,L4,1,0
323,B11,1,0
324,L11,1,0
325,B12,1,0
326,B1,1,0
327,B4,1,0
328,B3,1,0
329,L12,1,0
330,B16,1,0
331,R8,1,0
332,R6,1,0
333,B14,1,0
334,R15,1,0
335,R5,1,0
336,B5,1,0
337,H10,1,0
338,J6,1,0
339,H6,1,0
340,J9,1,0
341,H12,1,0
342,M6,1,0
343,H4,1,0
344,H7,1,0
345,M3,1,0
346,J14,1,0
347,M1,1,0
348,M12,1,0
349,M9,1,0
350,H3,1,0
351,R16,1,0
352,G10,0.8275,0.1725
353,G15,0.645625,0.354375
354,T15,0,1
355,T14,0,1
356,N12,1,0
357,N3,1,0
358,N8,1,0
359,N15,1,0
360,N2,1,0
361,N13,1,0
362,N5,1,0
363,N1,1,0
364,N11,1,0
365,N6,1,0
366,L1,1,0
367,N7,0.966875,0.033125
368,N4,1,0
369,R7,1,0
370,N9,1,0
371,N10,1,0
372,Q6,0.81875,0.18125
373,N14,1,0
374,S12,1,0
375,A2,0.50625,0.49375
376,R9b,1,0
377,S13b,1,0