sample	0	1	2	3	4	5	6	7	8	9	10	11
PLATEIV_G_11	117	10	5	1	0	3	1	2	2	2	0	0
PLATEIV_G_12	162	18	4	1	1	3	0	1	3	0	0	2
PLATEIV_G_1	174	16	7	7	4	1	4	5	3	1	0	0
PLATEIV_G_2	160	10	5	2	0	1	3	0	1	1	1	0
PLATEIV_G_3	209	25	10	7	4	5	2	6	1	0	0	0
PLATEIV_G_4	158	26	3	1	0	2	3	1	1	0	0	0
PLATEIV_G_6	561	77	45	23	16	9	27	15	10	10	6	5
PLATEIV_G_7	270	26	12	7	8	4	5	3	3	3	3	0
PLATEIV_G_8	633	82	40	18	15	27	21	16	18	10	2	3
PLATEIV_G_9	280	24	16	4	1	4	4	5	3	4	0	0
PLATEIV_H_10	183	19	2	3	2	3	6	0	3	0	0	0
PLATEIV_H_11	74	22	2	0	1	0	0	0	1	0	0	0
PLATEIV_H_12	204	34	11	6	4	4	4	0	6	3	1	1
PLATEIV_H_1	283	181	114	145	126	65	41	47	43	10	3	1
PLATEIV_H_2	20	0	1	0	1	2	1	0	0	1	0	0
PLATEIV_H_3	14	1	0	1	0	0	0	0	0	0	0	0
PLATEIV_H_4	19	0	0	0	1	0	0	1	0	1	0	0
PLATEIV_H_6	260	44	16	9	13	4	4	2	9	2	1	3
PLATEIV_H_7	123	13	2	4	0	1	3	1	3	0	0	0
PLATEIV_H_8	127	22	3	1	2	0	3	3	5	0	1	2
PLATEIV_H_9	188	21	6	3	0	3	3	3	9	5	0	1
PLATEI_A_10	4	0	0	0	0	1	0	0	0	0	0	0
PLATEI_B_10	117	11	0	2	3	1	3	2	3	1	1	0
PLATEI_B_11	104	13	2	2	0	1	1	1	1	1	1	1
PLATEI_B_12	122	11	1	1	2	2	2	1	2	2	0	0
PLATEI_B_1	62	6	1	0	2	3	0	1	1	0	0	0
PLATEI_B_2	5	0	0	0	0	0	0	0	0	0	0	0
PLATEI_B_3	136	11	2	3	0	2	1	2	2	1	0	0
PLATEI_B_4	349	50	14	10	8	8	7	2	3	4	1	1
PLATEI_B_5	98	4	3	2	2	0	1	2	0	1	1	2
PLATEI_B_6	8	0	0	0	0	0	0	0	0	0	0	0
PLATEI_B_7	166	21	4	0	3	2	1	3	5	1	0	0
PLATEI_B_8	92	10	1	1	1	0	1	1	2	1	1	0
PLATEI_B_9	137	5	3	4	1	3	5	2	5	4	0	0
PLATEI_C_10	234	24	11	7	7	10	7	8	3	0	0	1
PLATEI_C_11	94	29	22	1	0	2	2	1	0	1	1	0
PLATEI_C_12	285	47	19	7	8	6	7	8	1	1	3	1
PLATEI_C_1	95	11	3	6	3	3	0	2	0	0	0	0
PLATEI_C_2	89	10	1	1	2	3	3	1	2	3	1	1
PLATEI_C_3	74	8	2	0	1	0	1	2	0	0	0	1
PLATEI_C_4	134	17	4	3	4	0	2	1	2	0	0	0
PLATEI_C_5	137	17	6	2	1	3	1	5	2	2	0	0
PLATEI_C_6	124	18	1	0	3	1	1	3	1	1	0	0
PLATEI_C_7	112	16	0	0	1	1	1	1	0	3	1	0
PLATEI_C_8	93	15	2	2	2	2	2	2	0	0	0	1
PLATEI_C_9	137	7	0	3	6	2	3	3	4	1	1	0
PLATEI_D_10	274	33	14	6	8	9	5	0	3	0	0	0
PLATEI_D_11	98	9	1	1	2	1	1	0	1	1	0	1
PLATEI_D_12	98	4	1	2	1	1	0	1	2	1	0	0
PLATEI_D_1	42	5	1	2	1	1	1	1	1	1	0	0
PLATEI_D_2	245	31	14	4	5	5	3	2	1	2	0	0
PLATEI_D_3	93	8	2	1	1	0	2	4	2	2	0	0
PLATEI_D_4	93	8	1	0	1	2	1	1	1	0	0	0
PLATEI_D_5	226	14	5	2	2	4	4	2	4	3	1	0
PLATEI_D_6	171	33	7	4	2	7	2	2	2	1	1	1
PLATEI_D_7	175	12	7	2	2	6	0	3	2	0	0	0
PLATEI_D_8	8	0	0	0	0	0	0	0	0	0	0	0
PLATEI_D_9	352	46	13	10	2	6	2	6	5	4	0	0
PLATEI_E_10	110	14	1	1	0	1	0	1	5	0	0	0
PLATEI_E_11	95	1	0	0	2	4	0	0	1	0	1	0
PLATEI_E_12	107	2	0	0	0	4	1	0	1	1	0	0
PLATEI_E_1	14	1	0	0	0	0	0	0	0	0	0	0
PLATEI_E_2	59	6	0	0	2	5	1	0	2	0	0	1
PLATEI_E_3	47	1	0	0	0	1	1	1	1	0	0	0
PLATEI_E_4	111	19	5	1	3	1	5	3	1	2	0	0
PLATEI_E_5	108	3	1	0	2	1	1	5	2	1	1	0
PLATEI_E_6	93	9	2	1	0	1	1	0	1	0	0	0
PLATEI_E_7	123	11	3	0	1	2	2	2	5	2	0	0
PLATEI_E_8	7	0	0	0	0	0	0	0	0	0	0	0
PLATEI_E_9	129	35	8	3	1	3	1	3	2	1	0	0
PLATEI_F_10	111	5	1	4	1	3	3	1	5	1	0	0
PLATEI_F_11	94	8	1	5	2	3	3	2	1	1	0	1
PLATEI_F_12	78	25	4	0	2	0	1	0	0	0	1	2
PLATEI_F_1	33	0	0	0	0	0	2	2	1	0	0	0
PLATEI_F_2	133	18	9	4	1	2	3	2	3	3	1	0
PLATEI_F_3	81	11	1	2	0	0	2	3	5	2	1	1
PLATEI_F_4	113	25	2	5	1	2	4	1	0	1	0	1
PLATEI_F_5	109	9	3	3	1	1	4	2	1	3	1	1
PLATEI_F_6	131	22	5	2	1	3	2	0	3	1	0	0
PLATEI_F_7	89	18	3	1	2	2	3	0	0	1	0	0
PLATEI_F_8	66	11	1	0	5	5	4	0	0	0	0	0
PLATEI_F_9	174	17	2	8	5	4	3	2	7	2	0	0
PLATEI_G_10	84	4	2	0	2	1	5	0	2	1	1	0
PLATEI_G_11	83	0	3	1	2	1	3	0	3	1	0	1
PLATEI_G_12	59	0	1	0	0	2	0	0	0	0	0	1
PLATEI_G_1	15	0	0	0	0	1	0	0	0	0	0	0
PLATEI_G_2	70	8	0	0	0	3	1	1	1	0	0	0
PLATEI_G_3	309	52	43	49	47	32	45	33	7	9	2	2
PLATEI_G_4	304	30	23	10	12	11	7	3	5	7	0	3
PLATEI_G_5	146	16	1	1	0	6	3	2	2	4	1	0
PLATEI_G_6	115	9	4	1	4	4	2	4	3	0	0	0
PLATEI_G_7	103	3	1	0	1	4	3	3	2	0	0	2
PLATEI_G_8	189	22	13	4	6	4	8	2	8	2	0	2
PLATEI_G_9	255	13	3	7	9	8	7	7	9	3	1	0
PLATEI_H_10	52	1	0	1	0	0	2	0	3	0	0	0
PLATEI_H_11	49	4	0	3	0	0	0	0	2	1	0	0
PLATEI_H_12	66	1	0	3	1	1	2	3	5	0	0	0
PLATEI_H_1	71	8	0	1	1	4	0	0	2	0	0	0
PLATEI_H_2	65	11	2	1	0	1	1	0	1	0	0	0
PLATEI_H_3	116	13	2	3	0	1	2	2	1	1	1	1
PLATEI_H_4	88	6	2	6	3	1	0	1	2	0	0	0
PLATEI_H_5	128	26	12	2	0	6	0	1	1	2	0	0
PLATEI_H_6	135	9	5	3	1	5	1	0	3	0	2	0
PLATEI_H_7	121	13	3	1	0	3	0	0	2	0	0	0
PLATEI_H_8	215	14	10	8	7	3	3	4	5	3	2	2
PLATEI_H_9	425	243	207	186	184	91	51	49	55	11	2	0
PLATEVI_A_10	711	149	53	20	14	11	5	7	7	2	0	2
PLATEVI_A_11	108	9	0	0	2	0	0	1	0	2	0	0
PLATEVI_A_12	219	30	13	9	7	4	3	5	7	0	0	1
PLATEVI_A_1	180	17	9	3	6	4	3	2	5	0	0	0
PLATEVI_A_2	178	22	9	0	3	2	3	3	2	2	0	0
PLATEVI_A_3	76	0	2	1	1	1	0	2	2	1	0	0
PLATEVI_A_4	62	6	0	2	0	0	0	0	1	1	0	0
PLATEVI_A_6	4	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_A_7	136	19	1	0	2	0	0	0	2	1	0	0
PLATEVI_A_8	113	5	6	4	2	1	5	0	3	0	0	0
PLATEVI_A_9	186	17	7	5	2	1	1	5	3	1	0	1
PLATEVI_B_10	134	17	5	5	2	3	5	1	3	0	0	0
PLATEVI_B_11	6	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_B_12	13	0	0	0	0	0	0	1	1	0	0	0
PLATEVI_B_1	1519	374	172	112	81	55	48	38	19	13	8	5
PLATEVI_B_2	158	16	5	1	1	4	3	2	3	1	0	0
PLATEVI_B_3	110	5	1	0	1	1	1	3	1	0	0	0
PLATEVI_B_4	79	7	4	1	0	0	1	0	0	0	0	1
PLATEVI_B_6	140	6	3	1	3	3	1	1	2	1	0	0
PLATEVI_B_7	178	10	5	3	1	2	3	4	2	2	0	0
PLATEVI_B_8	192	19	4	1	1	1	7	2	2	0	0	0
PLATEVI_B_9	142	14	1	2	0	0	0	2	2	1	0	0
PLATEVI_C_10	77	7	1	0	1	0	0	1	1	0	0	0
PLATEVI_C_11	65	3	0	2	0	1	3	0	2	0	0	0
PLATEVI_C_12	86	5	4	2	0	1	3	1	2	1	0	0
PLATEVI_C_1	41	1	1	0	1	0	0	0	2	0	0	0
PLATEVI_C_2	43	2	0	1	1	1	3	0	0	1	0	0
PLATEVI_C_3	56	2	1	0	2	2	2	0	1	0	0	0
PLATEVI_C_4	98	6	0	0	0	1	4	0	1	0	0	0
PLATEVI_C_6	50	1	2	1	0	0	0	0	0	0	0	0
PLATEVI_C_7	32	2	0	0	0	0	1	1	1	0	0	0
PLATEVI_C_8	51	5	0	0	0	0	1	1	3	0	0	0
PLATEVI_C_9	96	1	0	0	1	0	0	0	3	0	1	1
PLATEVI_D_10	187	39	12	2	1	2	3	3	9	2	0	0
PLATEVI_D_11	187	30	5	2	1	6	4	2	2	0	0	0
PLATEVI_D_12	288	41	12	5	9	4	5	5	5	0	2	0
PLATEVI_D_1	68	1	3	2	0	1	1	0	2	0	1	1
PLATEVI_D_2	57	6	3	1	0	2	0	0	0	2	0	1
PLATEVI_D_3	79	1	0	1	1	1	2	0	0	0	0	0
PLATEVI_D_4	90	13	2	1	1	0	2	1	4	0	0	0
PLATEVI_D_6	81	14	3	1	0	0	1	2	1	0	1	0
PLATEVI_D_7	98	3	3	0	0	0	0	0	2	1	0	0
PLATEVI_D_8	149	13	2	1	2	3	3	0	3	1	0	0
PLATEVI_D_9	212	35	12	6	4	8	9	5	9	1	0	0
PLATEVI_E_10	329	59	26	9	9	5	5	3	1	0	0	0
PLATEVI_E_11	158	26	11	8	2	3	1	0	6	3	1	0
PLATEVI_E_12	24	1	0	0	0	0	0	0	0	1	0	0
PLATEVI_E_1	253	34	10	3	3	2	5	1	9	1	0	2
PLATEVI_E_2	207	23	12	3	0	1	3	0	3	0	0	0
PLATEVI_E_3	151	15	4	4	1	2	3	3	0	1	0	0
PLATEVI_E_4	170	23	7	3	1	0	2	1	0	2	0	2
PLATEVI_E_6	175	21	6	9	3	5	2	2	2	1	0	1
PLATEVI_E_7	250	30	39	8	3	7	4	8	2	1	0	0
PLATEVI_E_8	85	2	6	1	0	0	0	2	1	0	0	0
PLATEVI_E_9	82	10	0	1	0	2	2	1	3	1	0	0
PLATEVI_F_10	47	0	0	1	0	1	0	0	1	0	0	0
PLATEVI_F_11	25	1	0	1	1	0	0	2	0	0	0	0
PLATEVI_F_12	50	5	0	0	0	0	4	2	3	0	0	0
PLATEVI_F_1	322	190	132	137	127	68	44	63	43	12	0	0
PLATEVI_F_2	39	6	2	1	0	1	1	2	2	0	0	0
PLATEVI_F_3	39	2	1	0	2	2	1	0	0	1	0	0
PLATEVI_F_4	37	1	2	0	2	0	1	2	1	1	0	0
PLATEVI_F_6	12	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_F_7	36	2	1	0	0	0	2	2	3	0	0	0
PLATEVI_F_8	62	6	4	7	3	2	5	7	1	3	1	0
PLATEVI_F_9	76	10	3	3	1	1	4	1	3	0	0	0
PLATEVI_G_10	4	1	0	0	0	0	0	0	0	0	0	0
PLATEVI_G_11	20	1	0	2	0	0	0	1	2	0	0	0
PLATEVI_G_12	197	110	42	51	71	27	20	31	22	4	1	0
PLATEVI_G_1	180	15	15	11	5	1	1	1	4	1	0	0
PLATEVI_G_2	28	3	0	1	1	1	2	4	1	1	0	0
PLATEVI_G_3	37	3	0	0	0	1	3	0	1	1	0	0
PLATEVI_G_4	51	20	3	1	3	0	1	1	0	2	0	0
PLATEVI_G_6	26	6	1	4	0	0	0	3	0	0	0	0
PLATEVI_G_7	31	5	0	0	1	0	0	2	2	0	0	0
PLATEVI_G_8	4	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_G_9	6	0	0	0	0	0	0	0	1	0	0	0
PLATEVI_H_10	3	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_12	3	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_1	8	1	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_2	2	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_4	4	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_6	5	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_7	6	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_8	5	0	0	0	0	0	0	0	0	0	0	0
PLATEVI_H_9	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_10	5	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_11	29	5	0	0	0	1	0	0	0	1	0	0
PLATEV_A_1	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_2	20	0	0	0	0	2	0	0	1	0	0	0
PLATEV_A_3	8	0	0	0	0	0	0	0	0	0	0	0
PLATEV_A_4	43	4	3	1	2	2	2	1	1	1	1	0
PLATEV_A_6	32	3	0	0	0	1	3	0	0	0	1	0
PLATEV_A_8	89	12	5	1	3	1	0	3	1	1	0	0
PLATEV_A_9	42	3	1	0	0	2	0	2	1	0	0	0
PLATEV_B_10	91	11	9	6	3	8	6	4	4	0	3	0
PLATEV_B_12	15	3	0	0	0	0	0	0	0	1	0	0
PLATEV_B_1	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_B_3	15	0	0	0	0	0	0	1	0	0	0	0
PLATEV_B_4	22	2	4	0	0	0	0	1	0	0	0	0
PLATEV_B_6	73	4	2	0	2	1	1	0	0	1	0	0
PLATEV_B_7	203	24	13	8	5	2	9	3	5	0	1	0
PLATEV_B_8	45	3	0	1	0	0	0	1	0	1	0	0
PLATEV_B_9	27	1	2	1	0	0	0	0	0	0	1	0
PLATEV_C_10	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_C_11	19	2	0	0	0	1	1	0	0	0	0	0
PLATEV_C_12	40	0	1	0	0	0	1	1	0	0	1	0
PLATEV_C_1	18	0	0	0	0	0	1	0	1	0	0	0
PLATEV_C_2	115	11	2	0	0	3	1	2	1	1	0	0
PLATEV_C_3	5	1	0	0	0	0	0	0	0	0	0	0
PLATEV_C_4	20	0	0	0	1	1	0	2	0	0	0	0
PLATEV_C_6	41	1	2	0	2	1	2	2	0	2	0	0
PLATEV_C_7	40	0	1	1	0	0	0	0	1	0	0	0
PLATEV_C_8	38	2	0	1	0	2	0	0	0	0	0	0
PLATEV_C_9	29	4	1	0	0	1	0	1	0	0	0	0
PLATEV_D_10	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_12	3	0	0	0	0	1	0	0	0	0	0	0
PLATEV_D_1	21	0	0	0	0	0	1	1	0	0	0	0
PLATEV_D_2	32	3	1	5	2	0	1	0	0	1	0	0
PLATEV_D_3	2	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_4	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_6	8	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_7	773	1304	887	715	436	217	116	102	58	25	1	2
PLATEV_D_8	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_D_9	5	0	0	0	1	0	0	0	0	0	0	0
PLATEV_F_10	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_12	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_1	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_2	5	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_3	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_4	1	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_6	9	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_7	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_8	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_F_9	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_G_12	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_G_1	2	0	0	0	0	0	0	0	1	0	0	0
PLATEV_G_7	3	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_10	6	1	0	0	0	0	0	0	0	0	0	0
PLATEV_H_11	3	0	0	0	1	0	0	0	0	0	0	0
PLATEV_H_12	9	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_1	20	1	0	1	0	0	0	2	1	0	0	0
PLATEV_H_2	4	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_3	12	1	0	0	0	0	0	0	2	0	0	0
PLATEV_H_4	5	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_6	2	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_7	7	0	0	0	0	0	0	1	1	0	0	0
PLATEV_H_8	6	0	0	0	0	0	0	0	0	0	0	0
PLATEV_H_9	5	1	0	0	0	0	0	0	0	0	0	0
